Time, C, R, AVG
0.0383, 9.253191E-08, -8.317411E-07, -3.773069E-07
0.0384, 1.033293E-07, -8.631007E-07, -3.879393E-07
0.0385, 1.005901E-07, -8.966694E-07, -4.063501E-07
0.0386, 9.687226E-08, -9.264439E-07, -4.233134E-07
0.0387, 8.905683E-08, -9.503177E-07, -4.392919E-07
0.0388, 8.435985E-08, -9.616858E-07, -4.4738E-07
0.0389, 7.721184E-08, -9.695019E-07, -4.548676E-07
0.039, 8.910219E-08, -9.782867E-07, -4.534872E-07
0.0391, 1.125335E-07, -9.85677E-07, -4.457235E-07
0.0392, 1.378084E-07, -9.866825E-07, -4.338078E-07
0.0393, 1.479078E-07, -9.860368E-07, -4.28514E-07
0.0394, 1.376794E-07, -9.930162E-07, -4.370909E-07
0.0395, 1.088004E-07, -1.009529E-06, -4.596837E-07
0.0396, 8.693221E-08, -1.020655E-06, -4.760913E-07
0.0397, 7.495117E-08, -1.021271E-06, -4.822953E-07
0.0398, 7.00494E-08, -1.010454E-06, -4.792063E-07
0.0399, 5.506358E-08, -1.000788E-06, -4.816611E-07
0.04, 3.526694E-08, -1.001236E-06, -4.91622E-07
0.0401, 3.053981E-08, -1.009984E-06, -4.983931E-07
0.0402, 2.89616E-08, -1.015481E-06, -5.019633E-07
0.0403, 2.160907E-08, -1.006116E-06, -5.00818E-07
0.0404, -5.320232E-09, -9.876221E-07, -5.046571E-07
0.0405, -3.202181E-08, -9.73179E-07, -5.104434E-07
0.0406, -4.560392E-08, -9.671095E-07, -5.140359E-07
0.0407, -4.748549E-08, -9.64416E-07, -5.135918E-07
0.0408, -5.114299E-08, -9.70368E-07, -5.184157E-07
0.0409, -5.465628E-08, -9.789767E-07, -5.245192E-07
0.041, -5.668246E-08, -9.887449E-07, -5.304809E-07
0.0411, -5.917113E-08, -9.870203E-07, -5.308278E-07
0.0412, -5.683416E-08, -9.768851E-07, -5.245267E-07
0.0413, -6.489221E-08, -9.671242E-07, -5.235268E-07
0.0414, -9.011396E-08, -9.702652E-07, -5.375242E-07
0.0415, -1.316799E-07, -9.767895E-07, -5.612773E-07
0.0416, -1.620311E-07, -9.948509E-07, -5.853811E-07
0.0417, -1.698239E-07, -1.015782E-06, -5.998525E-07
0.0418, -1.704234E-07, -1.032331E-06, -6.085599E-07
0.0419, -1.706511E-07, -1.029374E-06, -6.071684E-07
0.042, -1.719561E-07, -1.019165E-06, -6.026206E-07
0.0421, -1.667281E-07, -1.0162E-06, -5.98543E-07
0.0422, -1.579261E-07, -1.022835E-06, -5.975879E-07
0.0423, -1.58427E-07, -1.034379E-06, -6.037025E-07
0.0424, -1.736709E-07, -1.046951E-06, -6.175881E-07
0.0425, -1.964117E-07, -1.054253E-06, -6.32481E-07
0.0426, -2.121717E-07, -1.048998E-06, -6.375585E-07
0.0427, -2.187275E-07, -1.040045E-06, -6.362303E-07
0.0428, -2.228551E-07, -1.037857E-06, -6.37148E-07
0.0429, -2.248051E-07, -1.041696E-06, -6.400579E-07
0.043, -2.201387E-07, -1.056682E-06, -6.453815E-07
0.0431, -2.193268E-07, -1.070883E-06, -6.522012E-07
0.0432, -2.269448E-07, -1.08471E-06, -6.629754E-07
0.0433, -2.357617E-07, -1.093047E-06, -6.715484E-07
0.0434, -2.286746E-07, -1.099608E-06, -6.713991E-07
